App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver,Primary Genre,Sub Genre
Fantasy Football Manager (FPL),SPORTS,4.4,63650,4.6,1000000,Free,0,Everyone,08/03/2018,7.0.2,4.1,Sports,
ESPN Fantasy Sports,SPORTS,4,176450,10,5000000,Free,0,Everyone,11/21/2017,5.3.0,4.4,Sports,
Fantasy Football,SPORTS,3.5,50179,23,1000000,Free,0,Everyone,08/02/2018,2.5.7.1,5,Sports,
CBS Sports Fantasy,SPORTS,4,43611,27,1000000,Free,0,Everyone,06/27/2018,3.17.0+3,5,Sports,
US Open Tennis Championships 2018,SPORTS,4,9971,33,1000000,Free,0,Everyone,06/05/2018,7.1,5,Sports,
Live Tennis Rankings / LTR,SPORTS,4.8,1660,4.7,10000,Free,0,Everyone,06/05/2018,3.9,4.0.3,Sports,
Tennis Livescore Widget,SPORTS,4.1,361,2.2,50000,Free,0,Everyone,10/13/2016,1,2.3,Sports,
"The Championships, Wimbledon 2018",SPORTS,4.3,24082,95,1000000,Free,0,Everyone,07/04/2018,6.5,4.4,Sports,
"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133833,34,10000000,Free,0,Everyone 10+,07/25/2018,6.17.2,4.4,Sports,
Tennis 24 - tennis live scores,SPORTS,4.6,990,9.4,100000,Free,0,Everyone,07/18/2018,2.28.1,4.1,Sports,
"Yahoo Sports - scores, stats, news, & highlights",SPORTS,4.5,32386,19,1000000,Free,0,Everyone,08/01/2018,7.8.0,5.1,Sports,
Tennis News and Scores,SPORTS,4.3,101,3.9,10000,Free,0,Everyone,07/15/2018,5.4,4.1,Sports,
"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133833,34,10000000,Free,0,Everyone 10+,07/25/2018,6.17.2,4.4,Sports,
MSN Sports - Scores & Schedule,SPORTS,4.5,35394,21,500000,Free,0,Everyone,07/05/2018,1.2.0,4.2,Sports,
"Yahoo Sports - scores, stats, news, & highlights",SPORTS,4.5,32386,19,1000000,Free,0,Everyone,08/01/2018,7.8.0,5.1,Sports,
WatchESPN,SPORTS,4.1,288809,6.6,10000000,Free,0,Everyone,09/27/2017,2.5.1,4.4,Sports,
"FOX Sports: Live Streaming, Scores & News",SPORTS,4,28895,82,5000000,Free,0,Teen,08/02/2018,4.4.15,5,Sports,
NCAA March Madness Live,SPORTS,4.1,34123,19,5000000,Free,0,Everyone,03/30/2018,7.1.0,5,Sports,
SportsManias Fantasy Team News,SPORTS,3.5,4057,26,500000,Free,0,Everyone,05/10/2018,3.2.12,4.0.3,Sports,
Thuuz Sports,SPORTS,4.5,5517,5.2,500000,Free,0,Everyone,04/03/2018,6.9.12,2.3,Sports,
NCAA Sports,SPORTS,3.9,4272,16,500000,Free,0,Everyone,04/23/2018,3.0.13,4.1,Sports,
US Open Tennis Championships 2018,SPORTS,4,9971,33,1000000,Free,0,Everyone,06/05/2018,7.1,5,Sports,
"FIFA - Tournaments, Soccer News & Live Scores",SPORTS,4.2,342912,6,10000000,Free,0,Everyone,08/03/2018,4.3.1,4.4,Sports,
365Scores - Live Scores,SPORTS,4.6,666521,25,10000000,Free,0,Everyone,07/29/2018,5.5.9,4.1,Sports,
"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133833,34,10000000,Free,0,Everyone 10+,07/25/2018,6.17.2,4.4,Sports,
Fantasy Football & NFL News,SPORTS,4.5,2943,8.1,100000,Free,0,Everyone,05/15/2018,6.1.3,2.3.3,Sports,
NBA,SPORTS,4.4,108318,35,10000000,Free,0,Everyone,07/09/2018,2017.7.1,4.4,Sports,
Golfshot: Golf GPS + Tee Times,SPORTS,4.3,7543,25,500000,Free,0,Everyone,07/11/2018,1.31.0,4.1,Sports,
"Yahoo Sports - scores, stats, news, & highlights",SPORTS,4.5,32386,19,1000000,Free,0,Everyone,08/01/2018,7.8.0,5.1,Sports,
NHL,SPORTS,4,68935,48,5000000,Free,0,Everyone,06/27/2018,9.4.0,4.2,Sports,
NASCAR MOBILE,SPORTS,4.2,80900,21,1000000,Free,0,Everyone,07/25/2018,7.1.7.4,4.4,Sports,
WatchESPN,SPORTS,4.1,288809,6.6,10000000,Free,0,Everyone,09/27/2017,2.5.1,4.4,Sports,
MLB Ballpark,SPORTS,3.9,5511,32,1000000,Free,0,Everyone,07/16/2018,7.3.0,4.2,Sports,
"FOX Sports: Live Streaming, Scores & News",SPORTS,4,28895,82,5000000,Free,0,Teen,08/02/2018,4.4.15,5,Sports,
Fantasy Football,SPORTS,3.5,50179,23,1000000,Free,0,Everyone,08/02/2018,2.5.7.1,5,Sports,
PGA TOUR,SPORTS,4,11151,52,1000000,Free,0,Everyone,06/27/2018,2018.6,5,Sports,
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL AND LOCAL,4.1,136626,14,10000000,Free,0,Everyone,08/06/2018,18.30.0,5,Travel & Local,
TripIt: Travel Organizer,TRAVEL AND LOCAL,4.4,49190,25,1000000,Free,0,Everyone,06/15/2018,7.5.0,5,Travel & Local,
CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL AND LOCAL,4.3,64713,58,1000000,Free,0,Everyone,06/09/2018,10.9.8 (Play),5,Travel & Local,
"KAYAK Flights, Hotels & Cars",TRAVEL AND LOCAL,4.5,216388,19,10000000,Free,0,Everyone,07/31/2018,Varies with device,Varies with device,Travel & Local,
Skyscanner,TRAVEL AND LOCAL,4.5,481545,29,10000000,Free,0,Everyone,08/06/2018,5.48,4.4,Travel & Local,
World Travel Guide by Triposo,TRAVEL AND LOCAL,4.4,6012,81,500000,Free,0,Everyone,03/05/2018,4.6.0,4.0.3,Travel & Local,
Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL AND LOCAL,4.4,17878,28,1000000,Free,0,Everyone,07/16/2018,6.7.1,4.1,Travel & Local,
GPS Map Free,TRAVEL AND LOCAL,4,33782,7.6,5000000,Free,0,Everyone,07/11/2018,4.6,4,Travel & Local,
Offline Maps & Navigation,TRAVEL AND LOCAL,4.7,192641,33,5000000,Free,0,Everyone,06/07/2018,17.4.1,4.0.3,Travel & Local,
GasBuddy: Find Cheap Gas,TRAVEL AND LOCAL,4.6,751551,42,10000000,Free,0,Mature 17+,08/02/2018,5.2.0 21127,4.4,Travel & Local,
Southwest Airlines,TRAVEL AND LOCAL,3.9,24781,8.3,5000000,Free,0,Everyone,07/11/2018,5.6.1,6,Travel & Local,
"AT&T Navigator: Maps, Traffic",TRAVEL AND LOCAL,3.6,32862,14,10000000,Free,0,Everyone,12/06/2016,5.10.6.2.8466393,4.1,Travel & Local,
AirAsia,TRAVEL AND LOCAL,3.9,98585,37,10000000,Free,0,Everyone,07/16/2018,5.0.4,4.4,Travel & Local,
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL AND LOCAL,4.1,136633,14,10000000,Free,0,Everyone,08/06/2018,18.30.0,5,Travel & Local,
Allegiant,TRAVEL AND LOCAL,3.1,5572,21,1000000,Free,0,Everyone,07/12/2018,5.16.1,4.4,Travel & Local,
Amtrak,TRAVEL AND LOCAL,3.7,16815,28,1000000,Free,0,Everyone,07/15/2018,3.1.3,5,Travel & Local,
JAL (Domestic and international flights),TRAVEL AND LOCAL,3.4,2277,27,1000000,Free,0,Everyone,05/07/2018,4.4.7,4.0.3,Travel & Local,
VZ Navigator for Tablets,TRAVEL AND LOCAL,3.6,285,39,500000,Free,0,Everyone,01/22/2018,10.7.8.111,4.2,Travel & Local,
"HSL - Tickets, route planner and information",TRAVEL AND LOCAL,3.3,256,17,100000,Free,0,Everyone,08/01/2018,1.1.2,5,Travel & Local,
VZ Navigator for Galaxy S4,TRAVEL AND LOCAL,3,2750,39,5000000,Free,0,Everyone,01/22/2018,10.7.8.111,4.2,Travel & Local,
MAIN,TRAVEL AND LOCAL,3.6,7081,51,1000000,Free,0,Everyone,08/06/2018,4.1.21,4.4,Travel & Local,
"Yoriza Pension - travel, lodging, pension, camping, caravan, pool villas accommodation discount",TRAVEL AND LOCAL,4.8,17882,86,1000000,Free,0,Everyone,08/03/2018,3.4.5,5,Travel & Local,
"Yatra - Flights, Hotels, Bus, Trains & Cabs",TRAVEL AND LOCAL,4.5,251037,26,10000000,Free,0,Everyone,08/05/2018,13.0.16,4.1,Travel & Local,
Fly Delta,TRAVEL AND LOCAL,3.7,27560,46,5000000,Free,0,Everyone,07/31/2018,4.13.2,5,Travel & Local,
Skyscanner,TRAVEL AND LOCAL,4.5,481546,29,10000000,Free,0,Everyone,08/06/2018,5.48,4.4,Travel & Local,
Despegar.com Hotels and Flights,TRAVEL AND LOCAL,4.4,150932,27,10000000,Free,0,Everyone,07/30/2018,9.1.0,4.1,Travel & Local,
Navigation Plus,TRAVEL AND LOCAL,4.1,928,14,1000000,Free,0,Everyone,01/09/2018,11.0.269 (m),4.1,Travel & Local,
Poynt,TRAVEL AND LOCAL,4,26665,10,5000000,Free,0,Everyone,03/29/2018,2.5.26,4.1,Travel & Local,
Gaode Map,TRAVEL AND LOCAL,3.9,13275,71,1000000,Free,0,Everyone,07/03/2018,8.60.0.2586,4,Travel & Local,
"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL AND LOCAL,4.4,48930,15,5000000,Free,0,Everyone,07/26/2018,4.38.176,4.4,Travel & Local,
Free Radar Detector,TRAVEL AND LOCAL,4.3,15680,11,1000000,Free,0,Everyone,07/06/2018,6.2.3,4.1,Travel & Local,
Where to travel - ticket. hotel. train ticket. car ticket. travel. tickets,TRAVEL AND LOCAL,4.2,5112,62,1000000,Free,0,Everyone,07/27/2018,8.8.2,4.4,Travel & Local,
United Airlines,TRAVEL AND LOCAL,3.5,30447,80,5000000,Free,0,Everyone,07/20/2018,2.1.56,5,Travel & Local,
NTES,TRAVEL AND LOCAL,4.3,165299,5.4,10000000,Free,0,Everyone,07/30/2018,8,4.1,Travel & Local,
Where is my Train : Indian Railway & PNR Status,TRAVEL AND LOCAL,4.7,620534,9.8,10000000,Free,0,Everyone,07/30/2018,5.7.3,4.0.3,Travel & Local,
Gormey: Find Best Restaurants,TRAVEL AND LOCAL,4.3,34,7.6,1000,Free,0,Everyone,08/29/2017,2.3,4.0.3,Travel & Local,
Find Dining Restaurant Finder,TRAVEL AND LOCAL,4.1,427,26,100000,Free,0,Everyone,03/21/2016,1.2.1,4.1,Travel & Local,
Urbanspoon Restaurant Reviews,TRAVEL AND LOCAL,4.2,35560,13,5000000,Free,0,Everyone,07/05/2016,4.0.21,4.0.3,Travel & Local,
Qatar Airways,TRAVEL AND LOCAL,4.3,11182,62,1000000,Free,0,Everyone,07/30/2018,11.26,4.1,Travel & Local,
Hipmunk Hotels & Flights,TRAVEL AND LOCAL,4.3,16734,10,1000000,Free,0,Everyone,07/31/2018,8.8.2,5,Travel & Local,
"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL AND LOCAL,4.4,48930,15,5000000,Free,0,Everyone,07/26/2018,4.38.176,4.4,Travel & Local,
United Airlines,TRAVEL AND LOCAL,3.5,30447,80,5000000,Free,0,Everyone,07/20/2018,2.1.56,5,Travel & Local,
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL AND LOCAL,4.1,136626,14,10000000,Free,0,Everyone,08/06/2018,18.30.0,5,Travel & Local,
CWT To Go,TRAVEL AND LOCAL,4.4,20313,57,100000,Free,0,Everyone,08/05/2018,17.7.8,4.4,Travel & Local,
British Airways,TRAVEL AND LOCAL,4.2,25740,51,1000000,Free,0,Everyone,07/24/2018,4.2,4.4,Travel & Local,
Southwest Airlines,TRAVEL AND LOCAL,3.9,24781,8.3,5000000,Free,0,Everyone,07/11/2018,5.6.1,6,Travel & Local,
Cheap Flights & Hotels momondo,TRAVEL AND LOCAL,4.2,42546,24,5000000,Free,0,Everyone,04/25/2018,7.6.5,4.4,Travel & Local,
JetBlue,TRAVEL AND LOCAL,4.4,24281,29,1000000,Free,0,Everyone,07/25/2018,4.4.2,4.4,Travel & Local,
Flights,TRAVEL AND LOCAL,4.4,18039,3.1,1000000,Free,0,Everyone,07/26/2018,3.6.6,4.1,Travel & Local,
Fly Delta,TRAVEL AND LOCAL,3.7,27560,46,5000000,Free,0,Everyone,07/31/2018,4.13.2,5,Travel & Local,
The Emirates App,TRAVEL AND LOCAL,4.4,22748,55,1000000,Free,0,Everyone,08/06/2018,4.7.1,5,Travel & Local,
"KAYAK Flights, Hotels & Cars",TRAVEL AND LOCAL,4.5,216388,19,10000000,Free,0,Everyone,07/31/2018,Varies with device,Varies with device,Travel & Local,
Cheapflights – Flight Search,TRAVEL AND LOCAL,4.4,47780,19,5000000,Free,0,Everyone,07/31/2018,Varies with device,Varies with device,Travel & Local,
KLM - Royal Dutch Airlines,TRAVEL AND LOCAL,3.7,7705,40,1000000,Free,0,Everyone,08/06/2018,9.7.1,4.1,Travel & Local,
Skyscanner,TRAVEL AND LOCAL,4.5,481546,29,10000000,Free,0,Everyone,08/06/2018,5.48,4.4,Travel & Local,
Lufthansa,TRAVEL AND LOCAL,3.6,14544,43,1000000,Free,0,Everyone,07/27/2018,7.2.5,4.1,Travel & Local,
easyJet: Travel App,TRAVEL AND LOCAL,4.4,134895,50,10000000,Free,0,Everyone,07/01/2018,2.32.2,4.2,Travel & Local,
LateRooms: Find Hotel Deals,TRAVEL AND LOCAL,4.1,2419,13,1000000,Free,0,Everyone,05/29/2018,1.24.5,4.1,Travel & Local,
"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL AND LOCAL,4.4,48930,15,5000000,Free,0,Everyone,07/26/2018,4.38.176,4.4,Travel & Local,
HOTEL DEALS,TRAVEL AND LOCAL,4.2,1609,4,100000,Free,0,Everyone,04/26/2018,53.89.55,4.1,Travel & Local,
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL AND LOCAL,4.1,136626,14,10000000,Free,0,Everyone,08/06/2018,18.30.0,5,Travel & Local,
"KAYAK Flights, Hotels & Cars",TRAVEL AND LOCAL,4.5,216388,19,10000000,Free,0,Everyone,07/31/2018,Varies with device,Varies with device,Travel & Local,
Skyscanner,TRAVEL AND LOCAL,4.5,481546,29,10000000,Free,0,Everyone,08/06/2018,5.48,4.4,Travel & Local,
IHG®: Hotel Deals & Rewards,TRAVEL AND LOCAL,4.3,18622,44,1000000,Free,0,Everyone,08/03/2018,4.15.1,4.4,Travel & Local,
SPG: Starwood Hotels & Resorts,TRAVEL AND LOCAL,4.2,8258,22,1000000,Free,0,Everyone,07/03/2018,v5.4.3,4.4,Travel & Local,
Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL AND LOCAL,4.4,17878,28,1000000,Free,0,Everyone,07/16/2018,6.7.1,4.1,Travel & Local,
Hotels Combined - Cheap deals,TRAVEL AND LOCAL,4.1,17202,12,5000000,Free,0,Everyone,11/13/2017,4.9.2,4.1,Travel & Local,
Turo - Better Than Car Rental,TRAVEL AND LOCAL,4.4,14114,46,1000000,Free,0,Everyone,08/04/2018,18.21.0,5,Travel & Local,
Ascape VR: 360° Virtual Travel,TRAVEL AND LOCAL,4.1,890,7.6,100000,Free,0,Everyone,08/09/2017,4.0.38,4.4,Travel & Local,Action & Adventure
Skyscanner,TRAVEL AND LOCAL,4.5,481546,29,10000000,Free,0,Everyone,08/06/2018,5.48,4.4,Travel & Local,
GPS Status & Toolbox,TRAVEL AND LOCAL,4.5,149723,4.1,10000000,Free,0,Everyone,06/13/2018,8.1.171,4,Travel & Local,
Airport + Flight Tracker Radar,TRAVEL AND LOCAL,4.2,6762,8.5,1000000,Free,0,Everyone,07/14/2015,8,4,Travel & Local,
Scout GPS Navigation & Meet Up,TRAVEL AND LOCAL,4.2,120373,31,5000000,Free,0,Everyone,07/31/2018,3.19.35.999,4.0.3,Travel & Local,
Street Panorama View,TRAVEL AND LOCAL,4.2,40225,4.1,1000000,Free,0,Everyone,07/18/2018,4.0.3,4.1,Travel & Local,
DreamTrips,TRAVEL AND LOCAL,4.7,9971,22,500000,Free,0,Teen,08/06/2018,1.28.1,5,Travel & Local,
Sygic Truck GPS Navigation,TRAVEL AND LOCAL,4.2,18294,28,1000000,Free,0,Everyone,08/02/2018,13.8.3,4,Travel & Local,
Moto File Manager,TOOLS,4.1,38655,5.9,10000000,Free,0,Everyone,02/01/2018,v3.7.93,5,Tools,
Motorola Alert,TOOLS,4.2,24199,3.9,50000000,Free,0,Everyone,11/21/2014,1.02.53,4.4,Tools,
Cache Cleaner-DU Speed Booster (booster & cleaner),TOOLS,4.5,12759663,15,100000000,Free,0,Everyone,07/25/2018,3.1.2,4,Tools,
Moto Suggestions ™,TOOLS,4.6,308,4.3,1000000,Free,0,Everyone,06/08/2018,0.2.32,8,Tools,
myMetro,TOOLS,4,26189,5.3,10000000,Free,0,Everyone,06/27/2018,MyMetro_HTML_2.0_430029,4,Tools,
My Telcel,TOOLS,3.1,45838,16,50000000,Free,0,Everyone,07/25/2018,7.6.1,4.1,Tools,
"Calculator - free calculator, multi calculator app",TOOLS,4.6,25592,7.5,10000000,Free,0,Everyone,07/31/2018,v8.0.1.8.0629.1,4.2,Tools,
Android TV Remote Service,TOOLS,4.3,1,3.7,1000000,Free,0,Everyone,01/17/2018,2.1.02.4477839,7,Tools,
"Calculator - free calculator ,multi calculator app",TOOLS,4.4,1236,5.8,100000,Free,0,Everyone,07/06/2018,8.1.6,4.2,Tools,
SHAREit - Transfer & Share,TOOLS,4.6,7790693,17,500000000,Free,0,Everyone,07/30/2018,4.5.28_ww,4.1,Tools,
Files Go by Google: Free up space on your phone,TOOLS,4.6,315585,8.5,10000000,Free,0,Everyone,07/18/2018,1.0.204375696,5,Tools,
Nokia mobile support,TOOLS,4.4,12215,9.1,5000000,Free,0,Everyone,08/01/2018,1.7.4,7,Tools,
File Manager -- Take Command of Your Files Easily,TOOLS,4.2,127223,7.6,10000000,Free,0,Everyone,08/03/2018,v7.0.7.1.0625.1_06_0629,5,Tools,
Samsung Calculator,TOOLS,4.4,9602,2.5,100000000,Free,0,Everyone,07/05/2018,6.0.61.5,7,Tools,
Clear,TOOLS,3.1,24151,15,10000000,Free,0,Everyone,08/06/2018,11.7.0,4.1,Tools,
AT&T Smart Wi-Fi,TOOLS,3.9,18513,6.1,10000000,Free,0,Everyone,04/26/2018,3.2,4.1,Tools,
Sound Recorder: Recorder & Voice Changer Free,TOOLS,3.9,14552,17,10000000,Free,0,Everyone,07/31/2018,v7.0.9.1.0526.1_06_0704,5,Tools,
TouchPal Keyboard for vivo,TOOLS,4.3,357,58,1000000,Free,0,Everyone,05/30/2018,6.2.6.7,4.0.3,Tools,
Google Assistant Go,TOOLS,3.7,315,4.6,500000,Free,0,Everyone,07/27/2018,1.8.203182757.armeabi-v7a.release,8,Tools,
My love,TOOLS,3.5,163997,16,10000000,Free,0,Everyone,08/05/2018,5.36,4.2,Tools,
DuraSpeed,TOOLS,3.8,5431,1.3,10000000,Free,0,Everyone,11/13/2017,1.5.0,6,Tools,
HTC Sense Input-LV,TOOLS,3.6,59,2.3,50000,Free,0,Everyone,04/22/2014,9.7.753080,4.1,Tools,
HTC Sense Input-CA,TOOLS,3.1,124,1.9,100000,Free,0,Everyone,04/22/2014,9.7.753080,4.1,Tools,
HTC Sense Input-AR,TOOLS,3.8,1420,2.7,100000,Free,0,Everyone,04/22/2014,9.7.753080,4.1,Tools,
Digital Alarm Clock,TOOLS,4.2,118439,16,10000000,Free,0,Everyone,06/19/2018,10.4,4.4,Tools,
Alarm Clock Free,TOOLS,4,59973,11,10000000,Free,0,Everyone,03/16/2018,1.2.5,4,Tools,
Puzzle Alarm Clock ⏰,TOOLS,4.3,32111,5.3,1000000,Free,0,Everyone,08/03/2018,3.1.0.1126,4.4,Tools,
I Can't Wake Up! Alarm Clock,TOOLS,4.5,70404,4.2,1000000,Free,0,Everyone,05/25/2018,3.4.0,4,Tools,
Brightest Flashlight - LED Light,TOOLS,4.5,876866,9.1,50000000,Free,0,Everyone,07/27/2018,1.4.9,4.0.3,Tools,
LED Flashlight,TOOLS,4.4,207706,4.3,10000000,Free,0,Everyone,07/10/2017,2.4,3,Tools,
"CM Flashlight (Compass, SOS)",TOOLS,4.4,166367,1.8,5000000,Free,0,Everyone,05/25/2018,1.4.0,2.3,Tools,
Flashlight - Torch LED Light,TOOLS,4.4,192661,8.5,10000000,Free,0,Everyone,07/07/2018,2.4.1,4.1,Tools,
Super Flashlight + LED,TOOLS,4.3,54207,4.4,5000000,Free,0,Everyone,07/11/2017,3.2,3,Tools,
Brightest Flashlight Free ®,TOOLS,4.7,1335799,3.8,50000000,Free,0,Everyone,10/27/2017,2.5.2,4.2,Tools,
Fraction Calculator Plus Free,TOOLS,4.5,148506,11,5000000,Free,0,Everyone,07/15/2018,Varies with device,Varies with device,Tools,
CALCU™ Stylish Calculator Free,TOOLS,4.7,152692,11,5000000,Free,0,Everyone,07/07/2018,3.5.6,4.1,Tools,
Calculator with Percent (Free),TOOLS,4.8,48211,7.4,1000000,Free,0,Everyone,11/18/2017,32.1,4.1,Tools,
Graphing Calculator,TOOLS,3.9,12388,5.3,1000000,Free,0,Everyone,04/01/2016,1.17,2.3,Tools,
Unit Converter,TOOLS,4.5,85387,5.4,1000000,Free,0,Everyone,07/03/2018,2.1.54,4,Tools,
Calculator ++,TOOLS,4.6,33509,3.6,1000000,Free,0,Everyone,05/12/2018,2.2.7,4.4,Tools,
ConvertPad - Unit Converter,TOOLS,4.4,90831,4.3,10000000,Free,0,Everyone,06/18/2017,3.1.00,4.2,Tools,
Classic Calculator,TOOLS,4,85659,27,5000000,Free,0,Everyone,02/25/2018,1.51,3,Tools,
weight conversion calculator,TOOLS,4,807,1.8,100000,Free,0,Everyone,05/18/2018,20180517,2.3,Tools,
Age Calculator,TOOLS,4.4,24265,3.3,1000000,Free,0,Everyone,07/25/2017,4.0.6,4.0.3,Tools,
EzCalculator,TOOLS,4.1,1657,2,100000,Free,0,Everyone,09/17/2017,2.1.0,5,Tools,
SuperVPN Free VPN Client,TOOLS,4.3,576454,6.1,50000000,Free,0,Everyone,02/05/2018,2.0.9,4.0.3,Tools,
Hideman VPN,TOOLS,4.1,88675,9.6,5000000,Free,0,Everyone,07/24/2018,6.0.1,4,Tools,
Fast Secure VPN,TOOLS,4.3,56848,9.6,1000000,Free,0,Everyone,05/18/2018,1.6.11,4.1,Tools,
Free & Premium VPN - FinchVPN,TOOLS,4.2,19096,10,1000000,Free,0,Everyone,07/05/2018,2.0.2,4.1,Tools,
Hotspot Shield Free VPN Proxy & Wi-Fi Security,TOOLS,4.2,1116393,8.2,50000000,Free,0,Everyone,08/06/2018,6.1.0,4.1,Tools,
OpenVPN Connect – Fast & Safe SSL VPN Client,TOOLS,4.2,154578,14,10000000,Free,0,Everyone,05/25/2018,3.0.5,4.1,Tools,
"VPN - Fast, Secure & Unlimited WiFi with VyprVPN",TOOLS,4.2,40676,25,1000000,Free,0,Everyone,07/05/2018,2.27.1,4.1,Tools,
FREEDOME VPN Unlimited anonymous Wifi Security,TOOLS,4.3,39833,9.9,1000000,Free,0,Everyone,07/09/2018,2.5.1.7592,4.0.3,Tools,
SurfEasy Secure Android VPN,TOOLS,4.5,273283,22,5000000,Free,0,Everyone,07/11/2018,4.1.0,4.0.3,Tools,
VPN Free - Betternet Hotspot VPN & Private Browser,TOOLS,4.5,801054,8.9,10000000,Free,0,Everyone,08/01/2018,4.3.0,4.1,Tools,
Smart Keyboard Trial,TOOLS,4.1,65597,2.4,10000000,Free,0,Everyone,04/28/2017,4.20.1,2.3,Tools,
"Emoji keyboard - Cute Emoticons, GIF, Stickers",TOOLS,4.4,1107320,25,50000000,Free,0,Everyone,08/07/2018,3.4.500,4.1,Tools,
Wifi Analyzer,TOOLS,4.4,335115,1.8,10000000,Free,0,Everyone,04/07/2018,3.11.2,6,Tools,
Network Signal Info,TOOLS,4.1,33926,17,1000000,Free,0,Everyone,08/03/2018,4.78.06,4.2,Tools,
osmino Wi-Fi: free WiFi,TOOLS,4.2,134203,4.1,10000000,Free,0,Everyone,08/06/2018,6.06.14,4.4,Tools,
WiFi Overview 360,TOOLS,4.1,15693,18,1000000,Free,0,Everyone,08/03/2018,4.32.07,4.2,Tools,
Speedcheck,TOOLS,4.6,48979,14,1000000,Free,0,Everyone,08/04/2018,5.0.0.8,4.0.3,Tools,
NETGEAR WiFi Analytics,TOOLS,4.1,9496,0.6796875,1000000,Free,0,Everyone,04/25/2014,1.0.19,2.2,Tools,
Keypad Lock Screen,TOOLS,4.2,428581,4.7,10000000,Free,0,Everyone,07/17/2018,1.33,4,Tools,
photo keypad lockscreen,TOOLS,4.1,225544,8.1,10000000,Free,0,Everyone,07/17/2018,3.1.2,4,Tools,
Solo Locker (DIY Locker),TOOLS,4.5,474439,7.9,10000000,Free,0,Everyone,06/26/2018,6.1.7.5,4.2,Tools,
Lock Screen,TOOLS,4,41137,4.6,1000000,Free,0,Everyone,11/15/2017,1.7.3,3.2,Tools,
ZERO Lock Screen,TOOLS,3.5,75336,0.53125,1000000,Free,0,Everyone,02/05/2016,1.3,4,Tools,
AppLock - Fingerprint,TOOLS,4.4,745245,3.5,10000000,Free,0,Everyone,04/13/2018,7.2.0,2.3,Tools,
Screen Off and Lock,TOOLS,4.1,172990,0.512695313,10000000,Free,0,Everyone,12/02/2017,1.17.4,2.2,Tools,
Screen Lock,TOOLS,4.2,68309,2.1,1000000,Free,0,Everyone,11/23/2017,v3.9f,4,Tools,
Funny Ringtones,PERSONALIZATION,4.4,7146,14,1000000,Free,0,Everyone 10+,02/02/2018,1.1,4,Personalization,
"XOS - Launcher,Theme,Wallpaper",PERSONALIZATION,4.6,49657,8.7,5000000,Free,0,Everyone,08/06/2018,3.6.21_pre,4.4,Personalization,
3D Live Neon Weed Launcher,PERSONALIZATION,4.5,1724,21,100000,Free,0,Mature 17+,06/26/2018,5.34.10,4.0.3,Personalization,
Golden Launcher,PERSONALIZATION,4.4,32794,12,5000000,Free,0,Everyone,07/31/2018,1.284.1.83,4.2,Personalization,
Launcher,PERSONALIZATION,4.5,102923,18,1000000,Free,0,Everyone,07/10/2018,2.1.2,5,Personalization,
"CM Launcher 3D - Theme, Wallpapers, Efficient",PERSONALIZATION,4.6,6702776,17,100000000,Free,0,Teen,08/03/2018,5.41.0,4.0.3,Personalization,
4K Wallpapers and Ultra HD Backgrounds,PERSONALIZATION,4.6,7583,3.8,500000,Free,0,Everyone 10+,07/04/2018,2.6.2.1,4.0.3,Personalization,
Birds Sounds Ringtones & Wallpapers,PERSONALIZATION,4.6,5073,23,1000000,Free,0,Everyone 10+,09/25/2017,1.1,4,Personalization,
Funny Alarm Clock Ringtones,PERSONALIZATION,4.5,15633,14,1000000,Free,0,Everyone,03/09/2017,1.1,4.0.3,Personalization,
ZenUI Launcher,PERSONALIZATION,4.7,1141545,15,50000000,Free,0,Everyone,07/31/2018,Varies with device,Varies with device,Personalization,
"Color Call - Caller Screen, LED Flash",PERSONALIZATION,4.7,29485,9.9,1000000,Free,0,Everyone,07/20/2018,1.0.4,4,Personalization,
New Launcher 2018,PERSONALIZATION,4.4,142393,12,10000000,Free,0,Everyone,07/31/2018,1.284.1.126,4.2,Personalization,
Diamond Zipper Lock Screen,PERSONALIZATION,4.3,71688,12,10000000,Free,0,Everyone,06/11/2018,3.5,4.1,Personalization,
"Emoji Keyboard - Cute Emoji,GIF, Sticker, Emoticon",PERSONALIZATION,4.7,114851,20,10000000,Free,0,Everyone,07/20/2018,2.1.9,4.1,Personalization,
3D Blue Glass Water Keyboard Theme,PERSONALIZATION,4.1,62209,7.4,10000000,Free,0,Everyone,07/01/2018,6.7.1,4.0.3,Personalization,
Backgrounds (HD Wallpapers),PERSONALIZATION,4.7,202474,3,10000000,Free,0,Teen,08/09/2017,2.6.0,4,Personalization,
